,HOME,AWAY,GAME DATE,RESULT,MIN,PTS_H,FGM_H,FGA_H,FG%_H,3PM_H,3PA_H,3P%_H,FTM_H,FTA_H,FT%_H,OREB_H,DREB_H,REB_H,AST_H,STL_H,BLK_H,TOV_H,PF_H,+/-_H,PTS_A,FGM_A,FGA_A,FG%_A,3PM_A,3PA_A,3P%_A,FTM_A,FTA_A,FT%_A,OREB_A,DREB_A,REB_A,AST_A,STL_A,BLK_A,TOV_A,PF_A,+/-_A,DRTG_H,DRTG_A,POW_H,POW_A,ELO_H,ELO_A
0,LAC,LAL,2019-10-22,H,240,112,42,81,51.9,11,31,35.5,17,24,70.8,11,34,45,24,8,5,14,25,10,102,37,85,43.5,13,33,39.4,15,21,71.4,9,32,41,20,4,7,15,24,-10,106.92,106.17,1.0549119336912498,0.9539842873176206,1772.014359617927,1798.9996241765966
1,BKN,LAL,2020-01-23,A,240,113,40,91,44.0,21,46,45.7,12,15,80.0,8,33,41,30,12,3,16,17,-15,128,47,94,50.0,19,38,50.0,15,20,75.0,11,41,52,28,9,6,16,15,15,108.71,106.17,1.0643307902420647,1.1774445773157944,1675.7761146781204,1798.9996241765966
2,DAL,LAL,2019-11-01,A,265,110,40,102,39.2,14,36,38.9,16,23,69.6,18,43,61,23,5,1,23,21,-9,119,47,96,49.0,9,32,28.1,16,21,76.2,6,35,41,24,11,7,11,21,9,110.87,106.17,1.0360742205896205,1.0733291241995129,1755.3815900555703,1798.9996241765966
3,DAL,LAL,2020-01-10,A,240,114,39,96,40.6,11,38,28.9,25,37,67.6,17,30,47,19,4,3,9,20,-15,129,47,89,52.8,10,24,41.7,25,32,78.1,12,37,49,18,6,5,7,27,15,110.87,106.17,1.0737496467928793,1.163524848922161,1755.3815900555703,1798.9996241765966
4,UTA,LAL,2019-12-04,A,240,96,34,83,41.0,14,31,45.2,14,19,73.7,8,32,40,20,3,3,20,24,-25,121,46,90,51.1,14,29,48.3,15,25,60.0,8,38,46,27,13,12,8,17,25,107.35,106.17,0.9042102288782141,1.1271541686073592,1772.6982943620455,1798.9996241765966
5,POR,LAL,2019-12-06,A,240,113,39,86,45.3,10,34,29.4,25,29,86.2,4,30,34,20,9,4,15,25,-23,136,46,85,54.1,17,36,47.2,27,33,81.8,3,42,45,26,10,8,19,23,23,113.25,106.17,1.0643307902420647,1.2008830022075054,1687.8343737494838,1798.9996241765966
6,POR,LAL,2019-12-28,A,240,120,41,86,47.7,15,35,42.9,23,27,85.2,9,30,39,18,4,8,16,22,-8,128,47,91,51.6,11,32,34.4,23,28,82.1,11,33,44,32,6,7,11,25,8,113.25,106.17,1.1302627860977676,1.130242825607064,1687.8343737494838,1798.9996241765966
7,MIA,LAL,2019-12-13,A,240,110,39,85,45.9,10,33,30.3,22,28,78.6,5,29,34,24,8,2,8,21,-3,113,43,87,49.4,12,37,32.4,15,23,65.2,14,36,50,26,5,9,19,23,3,109.22,106.17,1.0360742205896205,1.0346090459622779,1778.1162745749778,1798.9996241765966
8,SAS,LAL,2019-11-03,A,240,96,33,83,39.8,6,25,24.0,24,29,82.8,8,39,47,23,11,4,18,18,-7,103,42,87,48.3,6,24,25.0,13,19,68.4,7,39,46,21,8,10,18,22,7,113.17,106.17,0.9042102288782141,0.9101351948396218,1711.8508284193176,1798.9996241765966
9,SAS,LAL,2019-11-25,A,240,104,41,88,46.6,10,25,40.0,12,15,80.0,9,32,41,23,4,5,13,22,-10,114,44,89,49.4,14,33,42.4,12,18,66.7,10,30,40,28,7,6,9,18,10,113.17,106.17,0.9795610812847321,1.0073340991428823,1711.8508284193176,1798.9996241765966
10,PHX,LAL,2019-11-12,A,240,115,43,91,47.3,16,38,42.1,13,17,76.5,6,33,39,32,3,4,11,22,-8,123,51,95,53.7,10,25,40.0,11,21,52.4,8,36,44,39,4,4,10,21,8,111.79,106.17,1.083168503343694,1.1002773056624027,1680.8937946662747,1798.9996241765966
11,ORL,LAL,2019-12-11,A,240,87,34,81,42.0,8,26,30.8,11,17,64.7,8,33,41,20,10,5,15,17,-9,96,37,87,42.5,12,31,38.7,10,19,52.6,12,37,49,20,10,4,14,17,9,106.95,106.17,0.8194405199208816,0.8976157082748948,1709.778729292618,1798.9996241765966
12,IND,LAL,2019-12-17,H,240,105,41,85,48.2,10,25,40.0,13,20,65.0,13,30,43,22,9,6,13,21,3,102,43,91,47.3,8,31,25.8,8,17,47.1,14,28,42,28,5,6,13,19,-3,108.05,106.17,0.9889799378355467,0.9440074039796391,1766.5743991413271,1798.9996241765966
13,HOU,LAL,2020-01-18,A,240,115,40,90,44.4,12,37,32.4,23,29,79.3,11,35,46,20,8,4,20,26,-9,124,45,93,48.4,11,33,33.3,23,32,71.9,15,34,49,25,13,9,17,27,9,110.25,106.17,1.083168503343694,1.124716553287982,1748.1938400680874,1798.9996241765966
14,NOP,LAL,2019-11-27,A,240,110,34,84,40.5,17,40,42.5,25,30,83.3,13,29,42,20,7,4,20,23,-4,114,44,85,51.8,8,24,33.3,18,25,72.0,7,30,37,25,9,6,16,24,4,113.43,106.17,1.0360742205896205,1.0050251256281406,1686.5640485986576,1798.9996241765966
15,MEM,LAL,2019-11-23,A,240,108,43,89,48.3,14,30,46.7,8,13,61.5,12,35,47,28,12,3,22,19,-1,109,38,84,45.2,13,39,33.3,20,29,69.0,11,29,40,19,12,7,16,14,1,112.85,106.17,1.017236507487991,0.9658839167035889,1707.1086985743068,1798.9996241765966
16,BOS,LAL,2020-01-20,H,240,139,52,93,55.9,16,34,47.1,19,29,65.5,14,34,48,31,10,5,12,26,32,107,39,89,43.8,7,26,26.9,22,29,75.9,12,24,36,22,5,8,15,23,-32,106.52,106.17,1.3092210605632475,1.004506196019527,1759.4088226541762,1798.9996241765966
17,DEN,LAL,2019-12-03,A,240,96,37,91,40.7,6,29,20.7,16,17,94.1,7,28,35,26,9,4,11,25,-9,105,39,84,46.4,7,24,29.2,20,30,66.7,14,42,56,24,8,5,16,23,9,108.92,106.17,0.9042102288782141,0.9640102827763496,1766.4127271956827,1798.9996241765966
18,OKC,LAL,2019-11-22,A,240,127,49,93,52.7,11,31,35.5,18,20,90.0,6,31,37,28,8,3,12,23,-3,130,45,88,51.1,17,31,54.8,23,29,79.3,11,34,45,32,7,6,16,20,3,109.37,106.17,1.1961947819534708,1.1886257657492914,1754.2509658166318,1798.9996241765966
19,OKC,LAL,2020-01-11,A,240,110,43,92,46.7,9,31,29.0,15,17,88.2,5,32,37,23,6,6,7,13,-15,125,51,99,51.5,15,32,46.9,8,10,80.0,12,42,54,21,3,4,12,17,15,109.37,106.17,1.0360742205896205,1.1429093901435494,1754.2509658166318,1798.9996241765966
20,ATL,LAL,2019-12-15,A,240,96,31,86,36.0,12,42,28.6,22,25,88.0,8,34,42,18,8,5,20,27,-5,101,36,84,42.9,5,31,16.1,24,33,72.7,13,43,56,21,14,9,22,24,5,113.25,106.17,0.9042102288782141,0.891832229580574,1627.3058313360702,1798.9996241765966
21,MIL,LAL,2019-12-19,H,240,111,36,77,46.8,16,39,41.0,23,32,71.9,8,32,40,22,14,7,14,25,7,104,37,80,46.3,12,35,34.3,18,23,78.3,7,31,38,24,4,6,19,24,-7,102.08,106.17,1.0454930771404352,1.0188087774294672,1810.4861125679208,1798.9996241765966
22,NYK,LAL,2020-01-22,A,240,92,36,88,40.9,11,34,32.4,9,13,69.2,13,34,47,24,4,4,17,23,-8,100,36,82,43.9,9,27,33.3,19,28,67.9,11,32,43,18,13,8,10,14,8,113.22,106.17,0.8665348026749552,0.8832361773538244,1632.4307511879992,1798.9996241765966
23,CHI,LAL,2019-11-05,A,240,112,43,85,50.6,14,32,43.8,12,23,52.2,7,35,42,22,11,4,16,21,-6,118,45,92,48.9,11,33,33.3,17,24,70.8,12,37,49,26,10,10,16,18,6,108.36,106.17,1.0549119336912498,1.0889627168696936,1670.3162227694581,1798.9996241765966
24,LAC,CHA,2019-10-28,H,240,111,40,83,48.2,12,33,36.4,19,21,90.5,9,35,44,23,11,8,22,24,15,96,36,83,43.4,14,39,35.9,10,14,71.4,9,29,38,24,5,3,22,23,-15,106.92,114.31,0.9710436532236899,0.8978675645342312,1772.014359617927,1649.2236922326736
25,TOR,CHA,2019-11-18,H,240,132,50,97,51.5,20,43,46.5,12,15,80.0,16,37,53,40,13,2,11,25,36,96,33,78,42.3,15,45,33.3,15,24,62.5,9,28,37,26,3,8,20,19,-36,105.24,114.31,1.154754614644388,0.9122006841505131,1766.794994642991,1649.2236922326736
26,BKN,CHA,2019-11-20,H,240,101,36,90,40.0,10,39,25.6,19,23,82.6,13,40,53,19,11,1,17,21,10,91,30,81,37.0,11,33,33.3,20,26,76.9,8,33,41,17,8,3,16,23,-10,108.71,114.31,0.8835622430233575,0.8370895041854476,1675.7761146781204,1649.2236922326736
