TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
OKC,OKC vs. DAL,12/31/2019,W,240,106,39,91,42.9,6,27,22.2,22,28,78.6,18,38,56,18,7,5,12,21,5
DAL,DAL @ OKC,12/31/2019,L,240,101,33,93,35.5,15,51,29.4,20,27,74.1,17,32,49,19,5,4,11,24,-5
TOR,TOR vs. CLE,12/31/2019,W,240,117,40,84,47.6,17,39,43.6,20,25,80.0,10,35,45,29,5,7,12,15,20
CLE,CLE @ TOR,12/31/2019,L,240,97,37,87,42.5,10,38,26.3,13,16,81.3,8,33,41,21,5,4,15,19,-20
BOS,BOS @ CHA,12/31/2019,W,240,109,44,97,45.4,14,38,36.8,7,10,70.0,15,39,54,25,12,9,13,16,17
CHA,CHA vs. BOS,12/31/2019,L,240,92,34,86,39.5,12,34,35.3,12,16,75.0,8,33,41,25,7,4,17,16,-17
LAC,LAC @ SAC,12/31/2019,W,240,105,36,88,40.9,12,36,33.3,21,22,95.5,14,37,51,21,9,2,12,17,18
SAC,SAC vs. LAC,12/31/2019,L,240,87,33,80,41.3,8,28,28.6,13,19,68.4,11,30,41,20,8,5,16,23,-18
HOU,HOU vs. DEN,12/31/2019,W,240,130,46,87,52.9,16,34,47.1,22,31,71.0,13,30,43,20,6,7,15,17,26
DEN,DEN @ HOU,12/31/2019,L,240,104,45,97,46.4,8,25,32.0,6,9,66.7,14,25,39,25,7,5,16,22,-26
PHI,PHI @ IND,12/31/2019,L,240,97,37,91,40.7,6,29,20.7,17,20,85.0,14,33,47,24,4,6,15,22,-18
IND,IND vs. PHI,12/31/2019,W,240,115,42,86,48.8,11,25,44.0,20,26,76.9,5,33,38,35,3,6,6,16,18
GSW,GSW @ SAS,12/31/2019,L,265,113,44,96,45.8,12,27,44.4,13,18,72.2,9,35,44,31,5,6,9,14,-4
SAS,SAS vs. GSW,12/31/2019,W,265,117,45,96,46.9,14,31,45.2,13,17,76.5,10,43,53,30,6,6,10,18,4
BKN,BKN @ MIN,12/30/2019,L,265,115,40,99,40.4,15,41,36.6,20,27,74.1,7,51,58,22,4,6,17,25,-7
MIN,MIN vs. BKN,12/30/2019,W,265,122,42,104,40.4,17,44,38.6,21,29,72.4,11,49,60,20,12,8,14,22,7
WAS,WAS vs. MIA,12/30/2019,W,240,123,43,84,51.2,17,37,45.9,20,30,66.7,9,31,40,26,13,6,10,27,18
MIA,MIA @ WAS,12/30/2019,L,240,105,33,73,45.2,10,28,35.7,29,39,74.4,10,34,44,18,5,1,19,22,-18
DET,DET @ UTA,12/30/2019,L,240,81,30,79,38.0,4,14,28.6,17,23,73.9,10,33,43,14,10,5,17,20,-23
UTA,UTA vs. DET,12/30/2019,W,240,104,39,83,47.0,10,26,38.5,16,20,80.0,9,37,46,20,7,6,15,21,23
POR,POR vs. PHX,12/30/2019,L,240,116,44,96,45.8,14,34,41.2,14,18,77.8,10,32,42,24,5,4,9,19,-6
PHX,PHX @ POR,12/30/2019,W,240,122,44,92,47.8,13,23,56.5,21,22,95.5,10,34,44,29,6,4,11,17,6
ATL,ATL @ ORL,12/30/2019,W,240,101,39,81,48.1,9,29,31.0,14,17,82.4,11,41,52,21,8,4,21,20,8
ORL,ORL vs. ATL,12/30/2019,L,240,93,37,89,41.6,5,25,20.0,14,24,58.3,11,29,40,22,9,6,9,17,-8
MIL,MIL @ CHI,12/30/2019,W,240,123,46,84,54.8,11,32,34.4,20,24,83.3,10,49,59,29,6,9,18,17,21
CHI,CHI vs. MIL,12/30/2019,L,240,102,40,107,37.4,17,44,38.6,5,8,62.5,14,29,43,26,10,2,10,20,-21
HOU,HOU @ NOP,12/29/2019,L,240,112,42,81,51.9,15,39,38.5,13,20,65.0,8,33,41,29,5,3,17,16,-15
NOP,NOP vs. HOU,12/29/2019,W,240,127,50,102,49.0,18,44,40.9,9,13,69.2,14,32,46,32,9,4,9,17,15
MEM,MEM vs. CHA,12/29/2019,W,240,117,45,93,48.4,10,35,28.6,17,17,100,14,37,51,30,5,5,14,20,13
CHA,CHA @ MEM,12/29/2019,L,240,104,37,86,43.0,9,31,29.0,21,32,65.6,11,31,42,23,8,4,14,19,-13
